Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2024-12-07 08:02:47,2024,12,7,5,1576,1576.0,5.01,148.0,140.0,HOKA Clifton 9 Pomarańcz,18.791999999999998,11.451600000000001,90.0,82.0,395.0
2024-12-10 14:25:01,2024,12,10,1,3288,3004.0,8.64,172.0,151.0,HOKA Clifton 9 Pomarańcz,14.256,10.3536,84.0,80.0,751.0
2024-12-11 18:19:58,2024,12,11,2,2651,2585.0,8.01,172.0,147.0,HOKA Clifton 9 Pomarańcz,14.328,11.156400000000001,85.0,81.0,664.0
2024-12-14 07:47:20,2024,12,14,5,646,646.0,1.74,137.0,130.0,HOKA Clifton 9 Pomarańcz,12.456,9.6948,109.0,81.0,144.0
2024-12-14 08:03:41,2024,12,14,5,1573,1573.0,5.00,160.0,148.0,HOKA Clifton 9 Pomarańcz,19.656,11.4624,93.0,83.0,404.0
2024-12-28 07:46:03,2024,12,28,5,608,608.0,1.59,159.0,142.0,HOKA Clifton 9 Pomarańcz,11.664000000000001,9.468,83.0,80.0,135.0
2024-12-28 08:00:36,2024,12,28,5,1630,1630.0,5.00,185.0,172.0,HOKA Clifton 9 Pomarańcz,18.432000000000002,11.0556,90.0,81.0,428.0
2024-12-29 13:31:15,2024,12,29,6,1852,1802.0,5.31,173.0,159.0,HOKA Clifton 9 Pomarańcz,14.4,10.6164,84.0,81.0,463.0
2025-01-01 16:03:20,2025,1,1,2,1737,1737.0,4.36,159.0,149.0,HOKA Bondi 8 Błękit,11.16,9.0396,82.0,78.0,378.0
2025-01-02 18:06:24,2025,1,2,3,2463,2463.0,7.49,175.0,162.0,HOKA Clifton 9 Pomarańcz,15.264000000000001,10.9476,105.0,81.0,626.0
2025-01-04 07:56:42,2025,1,4,5,149,149.0,0.44,148.0,133.0,HOKA Clifton 9 Pomarańcz,21.456,10.7892,100.0,82.0,33.0
2025-01-04 08:04:38,2025,1,4,5,1578,1578.0,5.01,179.0,168.0,HOKA Clifton 9 Pomarańcz,15.768,11.4408,94.0,84.0,421.0
2025-01-04 09:11:11,2025,1,4,5,2249,2053.0,5.14,172.0,158.0,HOKA Clifton 9 Pomarańcz,11.952,9.0252,86.0,80.0,470.0
2025-01-06 18:43:51,2025,1,6,0,3943,3853.0,10.45,167.0,153.0,HOKA Clifton 9 Pomarańcz,13.607999999999999,9.7668,87.0,80.0,918.0
2025-01-08 12:17:24,2025,1,8,2,2026,1914.0,5.30,177.0,153.0,HOKA Bondi 8 Błękit,16.776,9.979199999999999,89.0,79.0,445.0
2025-01-09 17:05:40,2025,1,9,3,2731,2726.0,8.06,169.0,157.0,HOKA Clifton 9 Pomarańcz,14.256,10.6524,86.0,81.0,695.0
2025-01-12 16:40:57,2025,1,12,6,2419,2402.0,7.13,163.0,155.0,HOKA Clifton 9 Pomarańcz,13.392000000000001,10.692,85.0,81.0,612.0
2025-01-13 17:34:06,2025,1,13,0,2598,2401.0,7.46,172.0,158.0,HOKA Clifton 9 Pomarańcz,16.416,11.1888,92.0,82.0,628.0
2025-01-15 17:47:20,2025,1,15,2,3082,3002.0,9.00,170.0,155.0,HOKA Clifton 9 Pomarańcz,20.232,10.8,96.0,82.0,749.0
2025-01-16 17:39:59,2025,1,16,3,4881,4419.0,12.56,162.0,149.0,HOKA Bondi 8 Błękit,13.464,10.2348,85.0,81.0,1016.0
2025-01-18 13:33:12,2025,1,18,5,3006,2865.0,7.28,161.0,139.0,HOKA Bondi 8 Błękit,21.312,9.1512,102.0,80.0,597.0
2025-01-20 18:37:20,2025,1,20,0,4090,3675.0,10.00,171.0,142.0,HOKA Clifton 9 Pomarańcz,13.536,9.7992,107.0,80.0,824.0
2025-01-23 15:43:23,2025,1,23,3,2402,2402.0,7.04,161.0,149.0,HOKA Clifton 9 Pomarańcz,13.824,10.5516,84.0,80.0,578.0
2025-01-25 07:43:18,2025,1,25,5,544,536.0,1.46,149.0,139.0,HOKA Clifton 9 Pomarańcz,13.032,9.81,87.0,81.0,125.0
2025-01-25 08:02:58,2025,1,25,5,1515,1515.0,5.00,179.0,168.0,HOKA Clifton 9 Pomarańcz,20.952,11.8872,90.0,84.0,426.0
2025-01-25 08:37:13,2025,1,25,5,570,553.0,1.41,155.0,147.0,HOKA Clifton 9 Pomarańcz,11.808,9.2268,85.0,81.0,125.0
2025-01-28 16:41:08,2025,1,28,1,2840,2587.0,6.61,167.0,141.0,HOKA Bondi 8 Błękit,14.112,9.2088,86.0,78.0,558.0
2025-01-29 14:20:54,2025,1,29,2,3270,2994.0,9.01,173.0,155.0,HOKA Clifton 9 Pomarańcz,21.816,10.8396,99.0,81.0,745.0
2025-02-01 16:42:51,2025,2,1,5,1835,1835.0,5.51,165.0,152.0,HOKA Bondi 8 Błękit,13.68,10.8216,84.0,81.0,455.0
2025-02-02 15:54:26,2025,2,2,6,2092,2092.0,6.33,169.0,157.0,HOKA Bondi 8 Błękit,13.824,10.9044,85.0,81.0,541.0
2025-02-09 07:49:42,2025,2,9,6,304,304.0,0.72,136.0,121.0,HOKA Clifton 9 Pomarańcz,11.879999999999999,8.629199999999999,83.0,79.0,62.0
2025-02-09 08:03:33,2025,2,9,6,3148,3148.0,10.11,177.0,164.0,HOKA Clifton 9 Pomarańcz,16.416,11.5668,90.0,82.0,842.0
2025-02-15 07:44:25,2025,2,15,5,698,674.0,1.79,156.0,142.0,HOKA Mach 6 Biel,11.664000000000001,9.5616,82.0,79.0,150.0
