Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2025-04-28 05:34:38,2025,4,28,0,3509,3308.0,20.17,157.0,125.0,Czarna strzała,44.9568,21.956400000000002,,,546.0
2025-04-28 13:33:15,2025,4,28,0,4415,3373.0,19.22,161.0,122.0,Czarna strzała,41.25600000000001,20.512800000000002,,,533.0
2025-05-06 05:32:23,2025,5,6,1,3620,3304.0,20.46,170.0,139.0,Czarna strzała,44.8812,22.2948,,,674.0
2025-05-06 13:10:20,2025,5,6,1,2121,1803.0,9.60,153.0,126.0,Czarna strzała,32.8788,19.1844,,,345.0
2025-05-06 17:39:17,2025,5,6,1,760,638.0,2.65,131.0,109.0,Czarna strzała,31.680000000000003,14.9508,,,85.0
2025-05-10 23:26:21,2025,5,10,5,2006,2006.0,16.00,174.0,160.0,Czarna strzała,41.6052,28.7208,,,520.0
2025-05-20 04:56:41,2025,5,20,1,3562,3137.0,20.50,169.0,146.0,Czarna strzała,43.9812,23.526,,,749.0
2025-05-20 12:36:33,2025,5,20,1,934,845.0,5.14,154.0,137.0,Czarna strzała,32.67,21.8988,,,188.0
2025-05-24 13:30:10,2025,5,24,5,11303,4134.0,16.23,130.0,93.0,Czarna strzała,27.864,14.133600000000001,,,342.0
2025-05-27 05:00:02,2025,5,27,1,3279,3040.0,20.41,162.0,143.0,Czarna strzała,41.472,24.1776,,,669.0
2025-05-27 13:15:06,2025,5,27,1,4591,3871.0,20.89,145.0,107.0,Czarna strzała,33.480000000000004,19.4328,,,443.0
2025-06-05 05:01:26,2025,6,5,3,3505,3369.0,20.86,165.0,141.0,Czarna strzała,43.776,22.2912,,,669.0
2025-06-05 13:10:21,2025,6,5,3,4832,3905.0,22.33,180.0,131.0,Czarna strzała,43.9812,20.5848,,,690.0
2025-06-08 09:19:18,2025,6,8,6,1768,1729.0,6.42,130.0,96.0,Czarna strzała,31.392000000000003,13.377600000000001,,,155.0
2025-06-15 08:15:15,2025,6,15,6,24522,17790.0,125.46,199.0,153.0,Czarna strzała,49.896,25.3908,,,3632.0
