Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories,Max Pace,Average Pace
2024-04-29 04:59:26,2024,4,29,0,2795.0,2769.0,"1,625",153.0,132.0,7.502400000000001,2.1132,,22.0,403.0,0.2221511338593872,0.7886932929522368
2024-05-02 09:46:11,2024,5,2,3,2631.0,2514.0,"1,600",149.0,123.0,13.32,2.2896,,20.0,363.0,0.12512512512512514,0.7279291870486839
2024-05-06 05:00:14,2024,5,6,0,2700.0,2371.0,"1,600",148.0,124.0,21.276,2.43,,21.0,359.0,0.07833552672808172,0.6858710562414265
2024-05-10 13:30:57,2024,5,10,4,2702.0,2656.0,"1,800",156.0,131.0,3.3336,2.4408000000000003,,21.0,427.0,0.49996000319974393,0.6828362285589424
2024-05-13 05:00:49,2024,5,13,0,2673.0,2665.0,"1,750",145.0,123.0,2.9088000000000003,2.3652,,22.0,351.0,0.5729739640630729,0.7046620440836574
2024-05-20 14:14:52,2024,5,20,0,2774.0,2757.0,"1,125",163.0,125.0,4.7376000000000005,1.4687999999999999,,22.0,357.0,0.351795564561522,1.1347131445170662
2024-05-23 16:00:36,2024,5,23,3,2733.0,2711.0,"1,375",154.0,126.0,6.9264,1.8252000000000002,,19.0,379.0,0.24062524062524063,0.9131419387829643
2024-05-27 14:15:29,2024,5,27,0,2703.0,2689.0,"1,350",162.0,118.0,6.9264,1.8072000000000001,,21.0,333.0,0.24062524062524063,0.9222369780138704
2024-06-03 13:30:18,2024,6,3,0,4235.0,4035.0,"2,625",154.0,134.0,20.253600000000002,2.3436000000000003,,20.0,747.0,0.08228989743387183,0.7111566251351197
2024-06-06 16:01:17,2024,6,6,3,2693.0,2680.0,"1,275",165.0,129.0,7.502400000000001,1.7136,,27.0,360.0,0.2221511338593872,0.9726112667289138
2024-06-10 05:00:17,2024,6,10,0,2700.0,2691.0,"1,825",153.0,129.0,4.5,2.4408000000000003,,21.0,429.0,0.37037037037037035,0.6828362285589424
2024-06-13 16:01:22,2024,6,13,3,2594.0,2555.0,"1,100",171.0,135.0,3.1104,1.5516,,21.0,373.0,0.5358367626886146,1.074160006874624
2024-06-15 10:07:58,2024,6,15,5,371.0,371.0,103,156.0,138.0,4.4496,0.9972000000000001,,,76.0,0.3745655040153422,1.6713464366893966
2024-06-17 05:00:15,2024,6,17,0,2718.0,2701.0,"1,950",158.0,141.0,3.1104,2.5992,,22.0,515.0,0.5358367626886146,0.6412229403919154
2024-06-24 10:31:01,2024,6,24,0,2602.0,2083.0,"1,600",162.0,130.0,14.702399999999999,2.7648,,21.0,403.0,0.11336017702325245,0.6028163580246912
2024-06-27 12:00:49,2024,6,27,3,2680.0,2650.0,"1,800",140.0,122.0,3.2184,2.4444000000000004,,19.0,354.0,0.5178556632695336,0.6818305787377952
2024-06-29 08:09:00,2024,6,29,5,537.0,537.0,330,138.0,126.0,4.4496,2.214,29.0,24.0,91.0,0.3745655040153422,0.752785305630834
2024-07-08 07:59:07,2024,7,8,0,847.0,786.0,516,148.0,133.0,4.4496,2.3616,28.0,24.0,152.0,0.3745655040153422,0.705736224028907
2024-07-17 09:09:57,2024,7,17,2,1860.0,1416.0,943,151.0,133.0,4.4496,2.3976,28.0,24.0,263.0,0.3745655040153422,0.6951395840284729
2024-07-23 10:00:00,2024,7,23,1,2721.0,2653.0,"1,800",145.0,119.0,3.4632,2.4408000000000003,,21.0,339.0,0.48125048125048125,0.6828362285589424
2024-07-25 09:15:14,2024,7,25,3,2638.0,2629.0,"1,800",153.0,122.0,3.2184,2.466,,21.0,351.0,0.5178556632695336,0.6758583400919167
2024-07-27 10:46:35,2024,7,27,5,3486.0,3486.0,"2,280",140.0,120.0,4.4496,2.3544,33.0,25.0,436.0,0.3745655040153422,0.7078944387812889
2024-07-31 13:42:16,2024,7,31,2,1929.0,1929.0,"1,162",129.0,116.0,4.4496,2.1708,34.0,24.0,243.0,0.3745655040153422,0.7677661077329402
2024-08-04 07:50:55,2024,8,4,6,2535.0,2535.0,"1,887",150.0,134.0,7.538399999999999,2.6784,32.0,26.0,435.0,0.22109024019243698,0.6222620469932297
2024-08-16 09:45:18,2024,8,16,4,2015.0,1006.0,700,161.0,126.0,8.1864,2.5056,,21.0,243.0,0.20358969347535752,0.6651766709237974
2024-09-15 18:01:27,2024,9,15,6,2802.0,2030.0,"1,275",186.0,130.0,6.9264,2.2608,,23.0,426.0,0.24062524062524063,0.7372021703231895
2024-09-26 09:00:21,2024,9,26,3,2544.0,2326.0,"1,600",138.0,116.0,3.7512000000000003,2.4768,,22.0,329.0,0.4443022677187744,0.6729112833763995
2024-11-05 10:01:31,2024,11,5,1,2595.0,2033.0,"1,400",159.0,125.0,3.8160000000000003,2.4804,,21.0,426.0,0.43675751222921033,0.6719346341987852
2024-11-14 18:32:59,2024,11,14,3,2559.0,2037.0,"1,450",160.0,133.0,6.48,2.5632,,23.0,463.0,0.257201646090535,0.6502288805659592
2024-11-19 19:16:45,2024,11,19,1,2696.0,2392.0,"1,650",166.0,132.0,3.6,2.484,,24.0,512.0,0.46296296296296297,0.6709608158883521
2024-11-26 16:01:22,2024,11,26,1,2722.0,2048.0,"1,550",177.0,148.0,3.8160000000000003,2.7252,,26.0,618.0,0.43675751222921033,0.6115759088018005
2024-12-08 17:46:24,2024,12,8,6,2732.0,2298.0,"1,750",163.0,125.0,3.384,2.7432000000000003,,25.0,474.0,0.4925137903861308,0.6075629435209488
2024-12-12 19:16:23,2024,12,12,3,2677.0,1919.0,"1,500",174.0,143.0,3.8160000000000003,2.8152000000000004,,25.0,584.0,0.43675751222921033,0.5920242493132518
2024-12-27 17:46:34,2024,12,27,4,2627.0,2045.0,"1,600",181.0,136.0,3.9600000000000004,2.8152000000000004,,24.0,485.0,0.42087542087542085,0.5920242493132518
2025-01-04 14:16:45,2025,1,4,5,1163.0,1086.0,825,166.0,145.0,5.04,2.736,,24.0,251.0,0.3306878306878307,0.6091617933723196
2025-01-04 14:42:51,2025,1,4,5,1067.0,675.0,500,169.0,142.0,3.8160000000000003,2.6676,,23.0,213.0,0.43675751222921033,0.6247813265357125
2025-01-07 17:01:16,2025,1,7,1,2724.0,1885.0,"1,250",175.0,136.0,3.384,2.3868,,23.0,478.0,0.4925137903861308,0.6982850120105022
2025-01-11 10:01:41,2025,1,11,5,,,,,,,,,,,,
2025-01-14 16:01:08,2025,1,14,1,2694.0,2681.0,"2,100",128.0,105.0,3.384,2.8188,,24.0,273.0,0.4925137903861308,0.5912681519322645
2025-01-17 14:30:20,2025,1,17,4,2718.0,1951.0,"1,600",169.0,143.0,4.104,2.952,,24.0,559.0,0.4061078622482131,0.5645889792231256
2025-01-21 13:00:53,2025,1,21,1,2671.0,2177.0,"1,800",163.0,131.0,4.5360000000000005,2.9772,,22.0,496.0,0.3674309229864785,0.5598101124098706
2025-01-27 13:46:01,2025,1,27,0,3981.0,3959.0,"3,000",138.0,120.0,3.528,2.7288,,25.0,503.0,0.472411186696901,0.6107690804260725
2025-02-11 17:46:00,2025,2,11,1,1841.0,1386.0,"1,100",168.0,126.0,4.104,2.8584,,23.0,299.0,0.4061078622482131,0.5830767795503312
2025-02-15 10:01:06,2025,2,15,5,2712.0,2703.0,"2,000",162.0,147.0,3.8160000000000003,2.664,,22.0,537.0,0.43675751222921033,0.6256256256256256
2025-02-21 16:00:54,2025,2,21,4,2644.0,1999.0,"1,600",163.0,131.0,4.32,2.8800000000000003,,25.0,479.0,0.3858024691358024,0.5787037037037036
2025-03-07 17:01:09,2025,3,7,4,4236.0,3588.0,"2,725",165.0,136.0,6.048,2.7324,,24.0,794.0,0.2755731922398589,0.6099643780803201
2025-03-13 19:16:04,2025,3,13,3,2672.0,1851.0,"1,500",167.0,144.0,4.32,2.9160000000000004,,24.0,580.0,0.3858024691358024,0.571559213534522
2025-04-18 18:14:57,2025,4,18,4,2701.0,2674.0,"2,000",155.0,133.0,3.6,2.6928,,24.0,520.0,0.46296296296296297,0.6189344424638541
2025-05-09 18:16:02,2025,5,9,4,2106.0,1580.0,"1,300",159.0,129.0,3.8160000000000003,2.9628,,25.0,393.0,0.43675751222921033,0.562530939201656
2025-06-16 18:14:49,2025,6,16,0,2706.0,2694.0,"1,925",139.0,119.0,6.984,2.574,,23.0,388.0,0.2386407025582283,0.6475006475006475
2025-06-23 16:00:25,2025,6,23,0,2640.0,2229.0,"1,650",151.0,124.0,3.528,2.664,,22.0,429.0,0.472411186696901,0.6256256256256256
2025-07-08 16:59:55,2025,7,8,1,2693.0,2065.0,"1,550",157.0,126.0,3.24,2.7036000000000002,,22.0,449.0,0.51440329218107,0.616462001282241
2025-07-13 10:27:20,2025,7,13,6,435.0,435.0,417,156.0,149.0,5.4,3.4452,43.0,31.0,109.0,0.30864197530864196,0.48376485158094357
2025-07-24 15:15:46,2025,7,24,3,247.0,247.0,144,107.0,98.0,3.24,2.0987999999999998,36.0,29.0,26.0,0.51440329218107,0.7941045676894735
2025-07-28 18:24:28,2025,7,28,0,2908.0,1731.0,"1,500",160.0,133.0,4.32,3.1212,,25.0,514.0,0.3858024691358024,0.5339826562433252
2025-07-31 16:00:08,2025,7,31,3,1796.0,1791.0,"1,500",156.0,143.0,3.6,3.0168,,,415.0,0.46296296296296297,0.5524617696455406
2025-08-05 16:01:20,2025,8,5,1,2596.0,2587.0,"1,950",144.0,117.0,3.24,2.7144,,,385.0,0.51440329218107,0.6140092346988898
2025-08-09 16:43:35,2025,8,9,5,242.0,242.0,165,109.0,103.0,4.176,2.4552,40.0,31.0,29.0,0.3991060025542784,0.6788313239926144
2025-08-10 07:00:01,2025,8,10,6,1229.0,1229.0,907,152.0,121.0,3.528,2.6568,41.0,31.0,210.0,0.472411186696901,0.627321088025695
2025-08-16 13:30:31,2025,8,16,5,2598.0,1909.0,"1,600",156.0,123.0,4.5360000000000005,3.0168,,,424.0,0.3674309229864785,0.5524617696455406
2025-08-18 17:30:17,2025,8,18,0,2674.0,2202.0,"1,850",148.0,129.0,4.104,3.024,,,490.0,0.4061078622482131,0.5511463844797178
2025-08-21 17:30:25,2025,8,21,3,2378.0,1709.0,"1,425",168.0,138.0,4.5360000000000005,3.0023999999999997,,,509.0,0.3674309229864785,0.5551114663824497
2025-08-25 12:45:13,2025,8,25,0,2670.0,2644.0,"2,000",137.0,123.0,3.384,2.7216,,,437.0,0.4925137903861308,0.6123848716441309
2025-08-29 16:00:43,2025,8,29,4,2639.0,2263.0,"1,800",146.0,118.0,4.32,2.862,,,383.0,0.3858024691358024,0.5823433496389471
2025-08-30 10:26:38,2025,8,30,5,946.0,918.0,678,150.0,130.0,4.32,2.6604,32.0,28.0,186.0,0.3858024691358024,0.6264722096927781
2025-09-02 17:30:18,2025,9,2,1,2664.0,2658.0,"2,150",152.0,127.0,3.24,2.9124000000000003,,,493.0,0.51440329218107,0.5722657144165177
2025-09-07 07:52:02,2025,9,7,6,2421.0,2421.0,"1,921",141.0,126.0,4.104,2.8584,46.0,28.0,415.0,0.4061078622482131,0.5830767795503312
